,ID,Act,SMILES,in_set_A,in_set_B,Pair
20,,0,CC(C)Cn1c(CN2CCN(C(=O)c3ccco3)CC2)nc2c1c(=O)n(C)c(=O)n2C,1,0,31.0
118,,0,Cn1c(=O)c2c(nc(CN3CCN(Cc4ccccc4)CC3)n2Cc2ccccc2)n(C)c1=O,0,1,30.0
117,,0,Cn1c(=O)c2c(nc(CN3CCN(Cc4ccccc4)CC3)n2Cc2ccc(F)cc2)n(C)c1=O,1,0,30.0
19,,0,CC(C)Cn1c(CN(C)Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C,0,1,29.0
50,,0,CCCn1c(CN(C)Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C,1,0,29.0
13,,0,CC(C)CCn1c(SCCN2CCOCC2)nc2c1c(=O)[nH]c(=O)n2C,0,1,28.0
1,,0,C/C(Cl)=C/Cn1c(SCCN2CCOCC2)nc2c1c(=O)[nH]c(=O)n2C,1,0,28.0
86,,0,Cc1ccc(Cn2c(CN3CC(C)OC(C)C3)nc3c2c(=O)n(C)c(=O)n3C)cc1,0,1,27.0
28,,0,CC1CN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2cccc(Cl)c2)CC(C)O1,1,0,27.0
24,,0,CC1CCCCN1Cc1nc2c(c(=O)n(C)c(=O)n2C)n1CCc1ccccc1,1,0,26.0
25,,0,CC1CCCN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2CCc2ccccc2)C1,0,1,26.0
39,,0,CCCCCn1c(CN2CCN(C)CC2)nc2c1c(=O)n(C)c(=O)n2C,1,0,25.0
64,,0,CCOCCn1c(CN2CCC(C)CC2)nc2c1c(=O)n(C)c(=O)n2C,0,1,25.0
6,,0,C=CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccc(C)cc1,1,0,24.0
49,,0,CCCSc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccc(C)cc1,0,1,24.0
67,,0,CCOCCn1c(SCc2ccc(C)cc2)nc2c1c(=O)[nH]c(=O)n2C,1,0,23.0
68,,0,CCOCCn1c(SCc2ccc(F)cc2)nc2c1c(=O)[nH]c(=O)n2C,0,1,23.0
53,,0,CCCn1c(SCc2ccc(Cl)cc2)nc2c1c(=O)[nH]c(=O)n2C,0,1,22.0
8,,0,C=CCn1c(SCc2ccc(Cl)cc2)nc2c1c(=O)[nH]c(=O)n2C,1,0,22.0
95,,0,Cc1ccccc1Cn1c(CN2CCN(c3ccc(F)cc3)CC2)nc2c1c(=O)n(C)c(=O)n2C,1,0,21.0
119,,0,Cn1c(=O)c2c(nc(CN3CCN(c4ccc(F)cc4)CC3)n2Cc2ccccc2F)n(C)c1=O,0,1,21.0
121,,0,Cn1c(=O)c2c(nc(CN3CCOCC3)n2CCCO)n(C)c1=O,0,1,20.0
46,,0,CCCCn1c(CN2CCOCC2)nc2c1c(=O)n(C)c(=O)n2C,1,0,20.0
122,,0,Cn1c(=O)c2c(nc(CN3CCOCC3)n2CCCc2ccccc2)n(C)c1=O,1,0,19.0
101,,0,Cn1c(=O)[nH]c(=O)c2c1nc(CN1CCOCC1)n2CCCc1ccccc1,0,1,19.0
43,,0,CCCCn1c(CN(C)Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C,1,0,18.0
79,,0,COCCn1c(CN(C)Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C,0,1,18.0
0,,1,C/C(Cl)=C/Cn1c(SC(C)C)nc2c1c(=O)[nH]c(=O)n2C,1,0,17.0
5,,1,C/C=C/Cn1c(SC)nc2c1c(=O)[nH]c(=O)n2C,0,1,17.0
93,,1,Cc1ccc(Sc2nc3c(c(=O)[nH]c(=O)n3C)n2CCc2ccccc2)cc1,0,1,16.0
59,,1,CCOC(=O)C(CC)Sc1nc2c(c(=O)[nH]c(=O)n2C)n1CCc1ccccc1,1,0,16.0
85,,1,Cc1ccc(Cn2c(CN(C)Cc3ccccc3)nc3c2c(=O)n(C)c(=O)n3C)cc1,0,1,15.0
74,,1,CN(Cc1ccccc1)Cc1nc2c(c(=O)n(C)c(=O)n2C)n1CCCc1ccccc1,1,0,15.0
116,,1,Cn1c(=O)c2c(nc(CN3CCN(CCO)CC3)n2CCc2ccccc2)n(C)c1=O,1,0,14.0
54,,1,CCN1CCN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2CCCc2ccccc2)CC1,0,1,14.0
34,,1,CCCCCCn1c(CN2CCN(C(=O)c3ccco3)CC2)nc2c1c(=O)n(C)c(=O)n2C,1,0,13.0
11,,1,CC(C)CCn1c(CN2CCN(C(=O)c3ccco3)CC2)nc2c1c(=O)n(C)c(=O)n2C,0,1,13.0
31,,1,CCC(C)Sc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccccc1Cl,0,1,12.0
3,,1,C/C=C/CSc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccc(C)cc1,1,0,12.0
12,,1,CC(C)CCn1c(SCC(=O)c2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,0,1,11.0
14,,1,CC(C)CCn1c(SCCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,1,0,11.0
58,,1,CCOC(=O)C(C)Sc1nc2c(c(=O)[nH]c(=O)n2C)n1C/C=C(/C)Cl,1,0,10.0
60,,1,CCOC(=O)CSc1nc2c(c(=O)[nH]c(=O)n2C)n1C/C=C(/C)Cl,0,1,10.0
15,,1,CC(C)CCn1c(SCc2ccc(Cl)cc2)nc2c1c(=O)[nH]c(=O)n2C,1,0,9.0
47,,1,CCCCn1c(SCc2ccc(Cl)cc2)nc2c1c(=O)[nH]c(=O)n2C,0,1,9.0
78,,1,COCCSc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1cccc(C)c1,0,1,8.0
42,,1,CCCCSc1nc2c(c(=O)[nH]c(=O)n2C)n1CCc1ccccc1,1,0,8.0
113,,1,Cn1c(=O)c2c(nc(CN3CCN(C(=O)c4ccco4)CC3)n2CCc2ccccc2)n(C)c1=O,0,1,7.0
115,,1,Cn1c(=O)c2c(nc(CN3CCN(C(=O)c4ccco4)CC3)n2Cc2cccc(Cl)c2)n(C)c1=O,1,0,7.0
45,,1,CCCCn1c(CN2CCN(c3cccc(Cl)c3)CC2)nc2c1c(=O)n(C)c(=O)n2C,1,0,6.0
41,,1,CCCCCn1c(CN2CCN(c3cccc(Cl)c3)CC2)nc2c1c(=O)n(C)c(=O)n2C,0,1,6.0
109,,1,Cn1c(=O)c2c(nc(CN3CCC(C(N)=O)CC3)n2CCCc2ccccc2)n(C)c1=O,1,0,5.0
110,,1,Cn1c(=O)c2c(nc(CN3CCC(C(N)=O)CC3)n2CCc2ccccc2)n(C)c1=O,0,1,5.0
88,,1,Cc1ccc(Cn2c(CN3CCOCC3)nc3c2c(=O)n(C)c(=O)n3C)cc1,0,1,4.0
123,,1,Cn1c(=O)c2c(nc(CN3CCOCC3)n2CCc2ccccc2)n(C)c1=O,1,0,4.0
16,,1,CC(C)CCn1c(Sc2nc3ccccc3o2)nc2c1c(=O)[nH]c(=O)n2C,0,1,3.0
17,,1,CC(C)CCn1c(Sc2nc3ccccc3s2)nc2c1c(=O)[nH]c(=O)n2C,1,0,3.0
26,,1,CC1CCN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2CCCc2ccccc2)CC1,1,0,2.0
76,,1,CN1CCN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2CCCc2ccccc2)CC1,0,1,2.0
112,,1,Cn1c(=O)c2c(nc(CN3CCC(C(N)=O)CC3)n2Cc2ccccc2F)n(C)c1=O,1,0,1.0
111,,1,Cn1c(=O)c2c(nc(CN3CCC(C(N)=O)CC3)n2Cc2ccccc2Cl)n(C)c1=O,0,1,1.0
87,,1,Cc1ccc(Cn2c(CN3CCN(C(=O)c4ccco4)CC3)nc3c2c(=O)n(C)c(=O)n3C)cc1,1,0,0.0
114,,1,Cn1c(=O)c2c(nc(CN3CCN(C(=O)c4ccco4)CC3)n2Cc2ccc(Cl)cc2)n(C)c1=O,0,1,0.0
160,,0,CN(Cc1ccccc1)Cc1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1ccc(F)cc1,0,0,-1.0
159,,0,CC(C)Cn1c(=O)c2c(nc3n2CCCN3CCc2ccccc2)n(C)c1=O,0,0,-1.0
158,,0,CCCn1c(CN2CCN(C(=O)OCC)CC2)nc2c1c(=O)n(C)c(=O)n2C,0,0,-1.0
157,,0,Cn1c(=O)c2c(nc(CN3CCC(Cc4ccccc4)CC3)n2CCN2CCOCC2)n(C)c1=O,0,0,-1.0
154,,0,CCn1c(CN2CCN(C(=O)c3ccco3)CC2)nc2c1c(=O)n(C)c(=O)n2C,0,0,-1.0
156,,0,CCOC(=O)N1CCN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2ccc(F)cc2)CC1,0,0,-1.0
155,,0,CCOc1ccc(N2CCn3c2nc2c3c(=O)n(CCc3ccccc3)c(=O)n2C)cc1,0,0,-1.0
162,,0,CCOCCn1c(CN2CCN(CC)CC2)nc2c1c(=O)n(C)c(=O)n2C,0,0,-1.0
153,,1,CCOC(=O)N1CCN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2ccccc2)CC1,0,0,-1.0
161,,0,COc1ccc(N2CCCn3c2nc2c3c(=O)n(CCCc3ccccc3)c(=O)n2C)cc1,0,0,-1.0
166,,0,Cn1c(=O)n(C/C=C/c2ccccc2)c(=O)c2c1nc1n2CCCN1Cc1ccccc1,0,0,-1.0
163,,0,Cn1c(=O)[nH]c(=O)c2c1nc(CN1CCN(c3ccc(F)cc3)CC1)n2CCCc1ccccc1,0,0,-1.0
164,,0,CCOC(=O)Cn1c(CN2CCN(C(c3ccccc3)c3ccccc3)CC2)nc2c1c(=O)n(C)c(=O)n2C,0,0,-1.0
165,,0,Cn1c(=O)n(Cc2ccccc2F)c(=O)c2c1nc1n2CCCN1CCc1ccccc1,0,0,-1.0
151,,1,CC(C)CCn1c(CN2CCOCC2)nc2c1c(=O)n(C)c(=O)n2C,0,0,-1.0
167,,0,Cn1c(=O)c2c(nc(CN3CCN(c4ccccc4)CC3)n2Cc2c(F)cccc2Cl)n(C)c1=O,0,0,-1.0
168,,0,Cn1c(=O)c2c(nc(N3CCN(Cc4ccccc4)CC3)n2CCSc2ncccn2)n(C)c1=O,0,0,-1.0
169,,0,Cc1ccc2ccccc2c1Cn1c(-n2ccnc2)nc2c1c(=O)n(C)c(=O)n2C,0,0,-1.0
170,,0,CC1CN(Cc2nc3c(c(=O)[nH]c(=O)n3C)n2CCCc2ccccc2)CC(C)O1,0,0,-1.0
171,,0,COc1ccc(N2CCN(c3nc4c(c(=O)n(C)c(=O)n4C)n3CCCc3ccccc3)CC2)cc1,0,0,-1.0
152,,1,CCCCCCn1c(CN2CCN(CCO)CC2)nc2c1c(=O)n(C)c(=O)n2C,0,0,-1.0
134,,1,C=CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1CC,0,0,-1.0
150,,1,Cn1c(=O)c2c(nc(-n3ccnc3)n2Cc2ccccc2)n(C)c1=O,0,0,-1.0
139,,0,COc1ccccc1OCC(O)Cn1c(Br)nc2c1c(=O)[nH]c(=O)n2C,0,0,-1.0
130,,0,CCCCn1c(SCC(=O)NCc2ccco2)nc2c1c(=O)n(C)c(=O)n2C,0,0,-1.0
131,,1,C/C=C/Cn1c(SCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,0,0,-1.0
132,,1,Cc1ccccc1OCC(O)Cn1c(SC(C)C)nc2c1c(=O)[nH]c(=O)n2C,0,0,-1.0
133,,1,Cn1c(=O)[nH]c(=O)c2c1nc(Sc1nc3ccccc3s1)n2Cc1ccccc1,0,0,-1.0
135,,0,Cc1ccccc1OCC(O)Cn1c(Br)nc2c1c(=O)[nH]c(=O)n2C,0,0,-1.0
136,,0,CC(C)CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1CCCc1ccccc1,0,0,-1.0
137,,0,Cn1c(=O)[nH]c(=O)c2c1nc(Sc1ccccc1)n2CCc1ccccc1,0,0,-1.0
138,,0,C/C=C/Cn1c(Br)nc2c1c(=O)[nH]c(=O)n2C,0,0,-1.0
140,,0,Cn1c(=O)[nH]c(=O)c2c1nc(Br)n2Cc1ccccc1Cl,0,0,-1.0
149,,1,Cn1c(=O)[nH]c(=O)c2c1nc(CN1CCN(c3ccccc3F)CC1)n2CCCc1ccccc1,0,0,-1.0
141,,0,Cc1ccccc1OCC(O)Cn1c(NCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,0,0,-1.0
142,,1,Cn1c(=O)c2c(nc(OCc3cccnc3)n2Cc2ccccc2)n(C)c1=O,0,0,-1.0
143,,1,Cn1c(=O)c2c(nc(N3CCN(Cc4ccccc4)CC3)n2CCCc2ccccc2)n(C)c1=O,0,0,-1.0
144,,1,Cn1c(=O)n(CCc2ccccc2)c(=O)c2c1nc1n2CCCN1CCc1ccccc1,0,0,-1.0
145,,1,Cn1c(=O)c2c(nc(CN3CCC(C(N)=O)CC3)n2Cc2c(Cl)cccc2Cl)n(C)c1=O,0,0,-1.0
146,,1,Cn1c(=O)c2c(nc(CN3CCN(C(=O)c4ccco4)CC3)n2Cc2ccccc2)n(C)c1=O,0,0,-1.0
147,,1,CCOC(=O)N1CCN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2ccccc2C)CC1,0,0,-1.0
148,,1,CC1CC(C)CN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2CCN2CCOCC2)C1,0,0,-1.0
172,,0,Cn1c(=O)c2c(nc(OCc3ccccc3)n2C)n(C)c1=O,0,0,-1.0
